Date,CVX,XOM
2020-01-02,95.00155639648438,54.63478088378906
2020-01-03,94.67295837402344,54.19554138183594
2020-01-06,94.35218811035156,54.61167526245117
2020-01-07,93.14735412597656,54.16472244262695
2020-01-08,92.08338165283203,53.34789276123047
2020-01-09,91.93470001220703,53.756317138671875
2020-01-10,91.09758758544922,53.27854919433594
2020-01-13,91.26971435546875,53.78714370727539
2020-01-14,90.9880599975586,53.32477951049805
2020-01-15,90.85504913330078,53.240013122558594
2020-01-16,91.44963836669922,53.031951904296875
2020-01-17,90.42477416992188,52.83160400390625
2020-01-21,88.64878845214844,52.0764274597168
2020-01-22,88.32806396484375,51.77589416503906
2020-01-23,88.48450469970703,51.45225143432617
2020-01-24,87.50657653808594,51.1054801940918
2020-01-27,86.36434173583984,49.88795471191406
2020-01-28,86.93546295166016,49.818599700927734
2020-01-29,86.34867858886719,49.40247344970703
2020-01-30,87.1545181274414,49.926490783691406
2020-01-31,83.8216781616211,47.86901092529297
2020-02-03,83.14884185791016,46.79788589477539
2020-02-04,83.59480285644531,46.21223831176758
2020-02-05,86.27827453613281,48.33906936645508
2020-02-06,85.66021728515625,47.68406295776367
2020-02-07,85.22991943359375,47.368125915527344
2020-02-10,85.89490509033203,46.86785888671875
2020-02-11,87.005859375,47.31340026855469
2020-02-12,87.65521240234375,47.89183044433594
2020-02-13,87.35792541503906,47.626075744628906
2020-02-14,87.1283950805664,47.4072151184082
2020-02-18,87.2550277709961,46.80533218383789
2020-02-19,87.65077209472656,47.164894104003906
2020-02-20,86.91468811035156,46.789695739746094
2020-02-21,86.28150177001953,46.219093322753906
2020-02-24,82.8780288696289,44.05391311645508
2020-02-25,79.71204376220703,42.36554718017578
2020-02-26,77.59873962402344,41.43538284301758
2020-02-27,74.50395202636719,38.941917419433594
2020-02-28,73.878662109375,40.20819854736328
2020-03-02,76.45104217529297,42.11541748046875
2020-03-03,74.7097396850586,40.098758697509766
2020-03-04,77.98655700683594,40.97420883178711
2020-03-05,76.92594146728516,39.16859436035156
2020-03-06,75.44583129882812,37.2769889831543
2020-03-09,63.85036849975586,32.7199592590332
2020-03-10,67.26172637939453,33.9315185546875
2020-03-11,65.71829223632812,32.81375503540039
2020-03-12,60.35984420776367,29.061832427978516
2020-03-13,66.02696228027344,29.796581268310547
2020-03-16,55.16759490966797,26.95918846130371
2020-03-17,55.9511833190918,28.77261734008789
2020-03-18,43.572113037109375,25.888320922851562
2020-03-19,45.42422103881836,26.91228675842285
2020-03-20,47.00721740722656,25.591297149658203
2020-03-23,42.9151725769043,24.582962036132812
2020-03-24,52.67436981201172,27.70175552368164
2020-03-25,54.82725524902344,29.14781379699707
2020-03-26,60.454830169677734,30.3437442779541
2020-03-27,54.43941879272461,28.882051467895508
2020-03-30,56.94847869873047,29.311960220336914
2020-03-31,57.352142333984375,29.679330825805664
2020-04-01,54.265281677246094,29.335405349731445
2020-04-02,60.24903106689453,31.57874870300293
2020-04-03,59.44963073730469,30.648582458496094
2020-04-06,63.62874221801758,31.63346290588379
2020-04-07,64.04822540283203,32.23534393310547
2020-04-08,68.0532455444336,34.27545166015625
2020-04-09,66.73141479492188,33.7126579284668
2020-04-13,67.20631408691406,33.4234504699707
2020-04-14,66.9688720703125,33.16551208496094
2020-04-15,65.2908935546875,31.64127540588379
2020-04-16,63.31212615966797,30.601686477661133
2020-04-17,68.99510955810547,33.78300857543945
2020-04-20,66.14570617675781,32.188438415527344
2020-04-21,64.61811065673828,32.016483306884766
2020-04-22,66.83431243896484,32.931007385253906
2020-04-23,68.70226287841797,33.96278762817383
2020-04-24,68.86847686767578,34.1816520690918
2020-04-27,71.0055160522461,34.34579086303711
2020-04-28,71.163818359375,35.150909423828125
2020-04-29,74.89178466796875,37.097206115722656
2020-04-30,72.81806945800781,36.323387145996094
2020-05-01,70.79180908203125,33.72047424316406
2020-05-04,72.37482452392578,35.08055877685547
2020-05-05,73.52249908447266,35.041473388671875
2020-05-06,71.27462005615234,34.3848876953125
2020-05-07,73.32462310791016,34.58029556274414
2020-05-08,75.5645751953125,36.09669876098633
2020-05-11,73.90240478515625,35.752777099609375
2020-05-12,72.105712890625,35.15516662597656
2020-05-13,70.20610809326172,33.41015625
2020-05-14,71.27462005615234,33.704978942871094
2020-05-15,70.57019805908203,33.46593475341797
2020-05-18,74.32880401611328,36.12727355957031
2020-05-19,71.97567749023438,35.01173400878906
2020-05-20,74.69020080566406,36.151180267333984
2020-05-21,73.91919708251953,35.505767822265625
2020-05-22,72.50570678710938,35.537635803222656
2020-05-26,74.93112182617188,36.581451416015625
2020-05-27,75.41302490234375,36.84440612792969
2020-05-28,72.97954559326172,35.88822937011719
2020-05-29,73.64612579345703,36.230857849121094
2020-06-01,74.52154541015625,36.876277923583984
2020-06-02,76.04747009277344,37.69697952270508
2020-06-03,78.04724884033203,39.23483657836914
2020-06-04,77.32444763183594,39.123268127441406
2020-06-05,80.96257019042969,42.29457092285156
2020-06-08,82.91415405273438,43.61727523803711
2020-06-09,81.54082489013672,42.645164489746094
2020-06-10,78.36849975585938,40.35832214355469
2020-06-11,71.77488708496094,36.79658508300781
2020-06-12,74.20030975341797,37.58543014526367
2020-06-15,73.2686767578125,37.56153106689453
2020-06-16,75.51741790771484,38.40614318847656
2020-06-17,73.51765441894531,37.155155181884766
2020-06-18,73.83889770507812,37.38623046875
2020-06-19,72.78681182861328,36.63722610473633
2020-06-22,73.55781555175781,36.987823486328125
2020-06-23,73.43733978271484,37.210933685302734
2020-06-24,70.3854751586914,35.45795440673828
